Metric,Model_Combination,Behavior,Value
Acceptance Rate,GPT-3.5_vs_GPT-4o,Marwadi,0.9
Acceptance Rate,GPT-3.5_vs_GPT-4o,Punjabi,0.9
Acceptance Rate,GPT-4o_vs_Claude-3-Haiku,Baseline,1.0
Acceptance Rate,GPT-4o_vs_Claude-3-Haiku,Gujarati,1.0
Acceptance Rate,GPT-4o_vs_Claude-3-Haiku,Hindi,0.8888888888888888
Acceptance Rate,GPT-4o_vs_Claude-3-Haiku,Marwadi,0.9
Acceptance Rate,GPT-4o_vs_Claude-3-Haiku,Punjabi,1.0
Acceptance Rate,GPT-4o_vs_Claude-3.5-Haiku,Baseline,1.0
Acceptance Rate,GPT-4o_vs_Claude-3.5-Haiku,Gujarati,1.0
Acceptance Rate,GPT-4o_vs_Claude-3.5-Haiku,Hindi,1.0
Acceptance Rate,GPT-4o_vs_Claude-3.5-Haiku,Marwadi,1.0
Acceptance Rate,GPT-4o_vs_Claude-3.5-Haiku,Punjabi,1.0
Acceptance Rate,GPT-4o_vs_GPT-3.5,Baseline,0.8888888888888888
Acceptance Rate,GPT-4o_vs_GPT-3.5,Gujarati,0.8333333333333334
Acceptance Rate,GPT-4o_vs_GPT-3.5,Hindi,0.8
Acceptance Rate,GPT-4o_vs_GPT-3.5,Marwadi,0.8888888888888888
Acceptance Rate,GPT-4o_vs_GPT-3.5,Punjabi,0.9
Initial Offer,Claude-3-Haiku_vs_Claude-3.5-Haiku,Baseline,0.0
Initial Offer,Claude-3-Haiku_vs_Claude-3.5-Haiku,Gujarati,0.0
Initial Offer,Claude-3-Haiku_vs_Claude-3.5-Haiku,Hindi,0.0
Initial Offer,Claude-3-Haiku_vs_Claude-3.5-Haiku,Marwadi,0.0
Initial Offer,Claude-3-Haiku_vs_Claude-3.5-Haiku,Punjabi,0.0
Initial Offer,Claude-3-Haiku_vs_GPT-3.5,Baseline,4.444444444444445
Initial Offer,Claude-3-Haiku_vs_GPT-3.5,Gujarati,0.0
Initial Offer,Claude-3-Haiku_vs_GPT-3.5,Hindi,2.2222222222222223
Initial Offer,Claude-3-Haiku_vs_GPT-3.5,Marwadi,0.0
Initial Offer,Claude-3-Haiku_vs_GPT-3.5,Punjabi,0.0
Initial Offer,Claude-3-Haiku_vs_GPT-4o,Baseline,0.0
Initial Offer,Claude-3-Haiku_vs_GPT-4o,Gujarati,0.0
Initial Offer,Claude-3-Haiku_vs_GPT-4o,Hindi,0.0
Initial Offer,Claude-3-Haiku_vs_GPT-4o,Marwadi,0.0
Initial Offer,Claude-3-Haiku_vs_GPT-4o,Punjabi,0.0
Initial Offer,Claude-3.5-Haiku_vs_Claude-3-Haiku,Baseline,13.333333333333334
Initial Offer,Claude-3.5-Haiku_vs_Claude-3-Haiku,Gujarati,14.444444444444445
Initial Offer,Claude-3.5-Haiku_vs_Claude-3-Haiku,Hindi,8.333333333333334
Initial Offer,Claude-3.5-Haiku_vs_Claude-3-Haiku,Marwadi,15.0
Initial Offer,Claude-3.5-Haiku_vs_Claude-3-Haiku,Punjabi,24.0
Initial Offer,Claude-3.5-Haiku_vs_GPT-3.5,Baseline,15.0
Initial Offer,Claude-3.5-Haiku_vs_GPT-3.5,Gujarati,27.22222222222222
Initial Offer,Claude-3.5-Haiku_vs_GPT-3.5,Hindi,7.777777777777778
Initial Offer,Claude-3.5-Haiku_vs_GPT-3.5,Marwadi,5.0
Initial Offer,Claude-3.5-Haiku_vs_GPT-3.5,Punjabi,6.666666666666667
Initial Offer,Claude-3.5-Haiku_vs_GPT-4o,Baseline,24.0
Initial Offer,Claude-3.5-Haiku_vs_GPT-4o,Gujarati,14.5
Initial Offer,Claude-3.5-Haiku_vs_GPT-4o,Hindi,25.5
Initial Offer,Claude-3.5-Haiku_vs_GPT-4o,Marwadi,4.5
Initial Offer,Claude-3.5-Haiku_vs_GPT-4o,Punjabi,30.0
Initial Offer,GPT-3.5_vs_Claude-3-Haiku,Baseline,38.0
Initial Offer,GPT-3.5_vs_Claude-3-Haiku,Gujarati,45.0
Initial Offer,GPT-3.5_vs_Claude-3-Haiku,Hindi,37.77777777777778
Initial Offer,GPT-3.5_vs_Claude-3-Haiku,Marwadi,35.1
Initial Offer,GPT-3.5_vs_Claude-3-Haiku,Punjabi,35.55555555555556
Initial Offer,GPT-3.5_vs_Claude-3.5-Haiku,Baseline,48.0
Initial Offer,GPT-3.5_vs_Claude-3.5-Haiku,Gujarati,46.1
Initial Offer,GPT-3.5_vs_Claude-3.5-Haiku,Hindi,42.22222222222222
Initial Offer,GPT-3.5_vs_Claude-3.5-Haiku,Marwadi,55.5
Initial Offer,GPT-3.5_vs_Claude-3.5-Haiku,Punjabi,42.0
Initial Offer,GPT-3.5_vs_GPT-4o,Baseline,51.0
Initial Offer,GPT-3.5_vs_GPT-4o,Gujarati,67.5
Initial Offer,GPT-3.5_vs_GPT-4o,Hindi,53.888888888888886
Initial Offer,GPT-3.5_vs_GPT-4o,Marwadi,49.0
Initial Offer,GPT-3.5_vs_GPT-4o,Punjabi,47.0
Initial Offer,GPT-4o_vs_Claude-3-Haiku,Baseline,20.5
Initial Offer,GPT-4o_vs_Claude-3-Haiku,Gujarati,21.0
Initial Offer,GPT-4o_vs_Claude-3-Haiku,Hindi,5.555555555555555
Initial Offer,GPT-4o_vs_Claude-3-Haiku,Marwadi,5.0
Initial Offer,GPT-4o_vs_Claude-3-Haiku,Punjabi,27.0
Initial Offer,GPT-4o_vs_Claude-3.5-Haiku,Baseline,15.0
Initial Offer,GPT-4o_vs_Claude-3.5-Haiku,Gujarati,14.0
Initial Offer,GPT-4o_vs_Claude-3.5-Haiku,Hindi,8.0
Initial Offer,GPT-4o_vs_Claude-3.5-Haiku,Marwadi,15.5
Initial Offer,GPT-4o_vs_Claude-3.5-Haiku,Punjabi,16.11111111111111
Initial Offer,GPT-4o_vs_GPT-3.5,Baseline,26.666666666666668
Initial Offer,GPT-4o_vs_GPT-3.5,Gujarati,25.0
Initial Offer,GPT-4o_vs_GPT-3.5,Hindi,0.0
Initial Offer,GPT-4o_vs_GPT-3.5,Marwadi,22.22222222222222
Initial Offer,GPT-4o_vs_GPT-3.5,Punjabi,21.0
Player 1 Payoff,Claude-3-Haiku_vs_Claude-3.5-Haiku,Baseline,56.0
Player 1 Payoff,Claude-3-Haiku_vs_Claude-3.5-Haiku,Gujarati,46.42857142857143
Player 1 Payoff,Claude-3-Haiku_vs_Claude-3.5-Haiku,Hindi,53.0
Player 1 Payoff,Claude-3-Haiku_vs_Claude-3.5-Haiku,Marwadi,64.7
Player 1 Payoff,Claude-3-Haiku_vs_Claude-3.5-Haiku,Punjabi,59.166666666666664
Player 1 Payoff,Claude-3-Haiku_vs_GPT-3.5,Baseline,62.22222222222222
Player 1 Payoff,Claude-3-Haiku_vs_GPT-3.5,Gujarati,61.25
Player 1 Payoff,Claude-3-Haiku_vs_GPT-3.5,Hindi,40.0
Player 1 Payoff,Claude-3-Haiku_vs_GPT-3.5,Marwadi,51.25
Player 1 Payoff,Claude-3-Haiku_vs_GPT-3.5,Punjabi,51.666666666666664
Player 1 Payoff,Claude-3-Haiku_vs_GPT-4o,Baseline,56.0
Player 1 Payoff,Claude-3-Haiku_vs_GPT-4o,Gujarati,42.0
Player 1 Payoff,Claude-3-Haiku_vs_GPT-4o,Hindi,54.5
Player 1 Payoff,Claude-3-Haiku_vs_GPT-4o,Marwadi,52.5
Player 1 Payoff,Claude-3-Haiku_vs_GPT-4o,Punjabi,59.0
Player 1 Payoff,Claude-3.5-Haiku_vs_Claude-3-Haiku,Baseline,69.44444444444444
Player 1 Payoff,Claude-3.5-Haiku_vs_Claude-3-Haiku,Gujarati,70.0
Player 1 Payoff,Claude-3.5-Haiku_vs_Claude-3-Haiku,Hindi,73.33333333333333
Player 1 Payoff,Claude-3.5-Haiku_vs_Claude-3-Haiku,Marwadi,72.875
Player 1 Payoff,Claude-3.5-Haiku_vs_Claude-3-Haiku,Punjabi,70.5
Player 1 Payoff,Claude-3.5-Haiku_vs_GPT-3.5,Baseline,69.28571428571429
Player 1 Payoff,Claude-3.5-Haiku_vs_GPT-3.5,Gujarati,56.111111111111114
Player 1 Payoff,Claude-3.5-Haiku_vs_GPT-3.5,Hindi,28.88888888888889
Player 1 Payoff,Claude-3.5-Haiku_vs_GPT-3.5,Marwadi,69.44444444444444
Player 1 Payoff,Claude-3.5-Haiku_vs_GPT-3.5,Punjabi,59.44444444444444
Player 1 Payoff,Claude-3.5-Haiku_vs_GPT-4o,Baseline,56.0
Player 1 Payoff,Claude-3.5-Haiku_vs_GPT-4o,Gujarati,56.5
Player 1 Payoff,Claude-3.5-Haiku_vs_GPT-4o,Hindi,54.5
Player 1 Payoff,Claude-3.5-Haiku_vs_GPT-4o,Marwadi,56.7
Player 1 Payoff,Claude-3.5-Haiku_vs_GPT-4o,Punjabi,60.0
Player 1 Payoff,GPT-3.5_vs_Claude-3-Haiku,Baseline,68.0
Player 1 Payoff,GPT-3.5_vs_Claude-3-Haiku,Gujarati,37.22222222222222
Player 1 Payoff,GPT-3.5_vs_Claude-3-Haiku,Hindi,37.77777777777778
Player 1 Payoff,GPT-3.5_vs_Claude-3-Haiku,Marwadi,65.0
Player 1 Payoff,GPT-3.5_vs_Claude-3-Haiku,Punjabi,55.0
Player 1 Payoff,GPT-3.5_vs_Claude-3.5-Haiku,Baseline,57.0
Player 1 Payoff,GPT-3.5_vs_Claude-3.5-Haiku,Gujarati,73.9
Player 1 Payoff,GPT-3.5_vs_Claude-3.5-Haiku,Hindi,77.22222222222223
Player 1 Payoff,GPT-3.5_vs_Claude-3.5-Haiku,Marwadi,45.5
Player 1 Payoff,GPT-3.5_vs_Claude-3.5-Haiku,Punjabi,65.5
Player 1 Payoff,GPT-3.5_vs_GPT-4o,Baseline,44.0
Player 1 Payoff,GPT-3.5_vs_GPT-4o,Gujarati,26.25
Player 1 Payoff,GPT-3.5_vs_GPT-4o,Hindi,39.44444444444444
Player 1 Payoff,GPT-3.5_vs_GPT-4o,Marwadi,45.0
Player 1 Payoff,GPT-3.5_vs_GPT-4o,Punjabi,48.0
Player 1 Payoff,GPT-4o_vs_Claude-3-Haiku,Baseline,55.0
Player 1 Payoff,GPT-4o_vs_Claude-3-Haiku,Gujarati,56.5
Player 1 Payoff,GPT-4o_vs_Claude-3-Haiku,Hindi,56.111111111111114
Player 1 Payoff,GPT-4o_vs_Claude-3-Haiku,Marwadi,69.5
Player 1 Payoff,GPT-4o_vs_Claude-3-Haiku,Punjabi,50.0
Player 1 Payoff,GPT-4o_vs_Claude-3.5-Haiku,Baseline,55.0
Player 1 Payoff,GPT-4o_vs_Claude-3.5-Haiku,Gujarati,54.0
Player 1 Payoff,GPT-4o_vs_Claude-3.5-Haiku,Hindi,58.5
Player 1 Payoff,GPT-4o_vs_Claude-3.5-Haiku,Marwadi,64.0
Player 1 Payoff,GPT-4o_vs_Claude-3.5-Haiku,Punjabi,59.44444444444444
Player 1 Payoff,GPT-4o_vs_GPT-3.5,Baseline,57.77777777777778
Player 1 Payoff,GPT-4o_vs_GPT-3.5,Gujarati,40.0
Player 1 Payoff,GPT-4o_vs_GPT-3.5,Hindi,45.5
Player 1 Payoff,GPT-4o_vs_GPT-3.5,Marwadi,56.666666666666664
Player 1 Payoff,GPT-4o_vs_GPT-3.5,Punjabi,57.0
Player 2 Payoff,Claude-3-Haiku_vs_Claude-3.5-Haiku,Baseline,44.0
Player 2 Payoff,Claude-3-Haiku_vs_Claude-3.5-Haiku,Gujarati,53.57142857142857
Player 2 Payoff,Claude-3-Haiku_vs_Claude-3.5-Haiku,Hindi,47.0
Player 2 Payoff,Claude-3-Haiku_vs_Claude-3.5-Haiku,Marwadi,35.3
Player 2 Payoff,Claude-3-Haiku_vs_Claude-3.5-Haiku,Punjabi,40.833333333333336
Player 2 Payoff,Claude-3-Haiku_vs_GPT-3.5,Baseline,37.77777777777778
Player 2 Payoff,Claude-3-Haiku_vs_GPT-3.5,Gujarati,38.75
Player 2 Payoff,Claude-3-Haiku_vs_GPT-3.5,Hindi,26.666666666666668
Player 2 Payoff,Claude-3-Haiku_vs_GPT-3.5,Marwadi,36.25
Player 2 Payoff,Claude-3-Haiku_vs_GPT-3.5,Punjabi,48.333333333333336
Player 2 Payoff,Claude-3-Haiku_vs_GPT-4o,Baseline,44.0
Player 2 Payoff,Claude-3-Haiku_vs_GPT-4o,Gujarati,58.0
Player 2 Payoff,Claude-3-Haiku_vs_GPT-4o,Hindi,45.5
Player 2 Payoff,Claude-3-Haiku_vs_GPT-4o,Marwadi,47.5
Player 2 Payoff,Claude-3-Haiku_vs_GPT-4o,Punjabi,41.0
Player 2 Payoff,Claude-3.5-Haiku_vs_Claude-3-Haiku,Baseline,30.555555555555557
Player 2 Payoff,Claude-3.5-Haiku_vs_Claude-3-Haiku,Gujarati,30.0
Player 2 Payoff,Claude-3.5-Haiku_vs_Claude-3-Haiku,Hindi,26.666666666666668
Player 2 Payoff,Claude-3.5-Haiku_vs_Claude-3-Haiku,Marwadi,27.125
Player 2 Payoff,Claude-3.5-Haiku_vs_Claude-3-Haiku,Punjabi,29.5
Player 2 Payoff,Claude-3.5-Haiku_vs_GPT-3.5,Baseline,30.714285714285715
Player 2 Payoff,Claude-3.5-Haiku_vs_GPT-3.5,Gujarati,21.666666666666668
Player 2 Payoff,Claude-3.5-Haiku_vs_GPT-3.5,Hindi,26.666666666666668
Player 2 Payoff,Claude-3.5-Haiku_vs_GPT-3.5,Marwadi,30.555555555555557
Player 2 Payoff,Claude-3.5-Haiku_vs_GPT-3.5,Punjabi,40.55555555555556
Player 2 Payoff,Claude-3.5-Haiku_vs_GPT-4o,Baseline,44.0
Player 2 Payoff,Claude-3.5-Haiku_vs_GPT-4o,Gujarati,43.5
Player 2 Payoff,Claude-3.5-Haiku_vs_GPT-4o,Hindi,45.5
Player 2 Payoff,Claude-3.5-Haiku_vs_GPT-4o,Marwadi,43.3
Player 2 Payoff,Claude-3.5-Haiku_vs_GPT-4o,Punjabi,40.0
Player 2 Payoff,GPT-3.5_vs_Claude-3-Haiku,Baseline,32.0
Player 2 Payoff,GPT-3.5_vs_Claude-3-Haiku,Gujarati,18.333333333333332
Player 2 Payoff,GPT-3.5_vs_Claude-3-Haiku,Hindi,17.77777777777778
Player 2 Payoff,GPT-3.5_vs_Claude-3-Haiku,Marwadi,15.0
Player 2 Payoff,GPT-3.5_vs_Claude-3-Haiku,Punjabi,22.77777777777778
Player 2 Payoff,GPT-3.5_vs_Claude-3.5-Haiku,Baseline,43.0
Player 2 Payoff,GPT-3.5_vs_Claude-3.5-Haiku,Gujarati,26.1
Player 2 Payoff,GPT-3.5_vs_Claude-3.5-Haiku,Hindi,22.77777777777778
Player 2 Payoff,GPT-3.5_vs_Claude-3.5-Haiku,Marwadi,54.5
Player 2 Payoff,GPT-3.5_vs_Claude-3.5-Haiku,Punjabi,34.5
Player 2 Payoff,GPT-3.5_vs_GPT-4o,Baseline,46.0
Player 2 Payoff,GPT-3.5_vs_GPT-4o,Gujarati,61.25
Player 2 Payoff,GPT-3.5_vs_GPT-4o,Hindi,60.55555555555556
Player 2 Payoff,GPT-3.5_vs_GPT-4o,Marwadi,45.0
Player 2 Payoff,GPT-3.5_vs_GPT-4o,Punjabi,42.0
Player 2 Payoff,GPT-4o_vs_Claude-3-Haiku,Baseline,45.0
Player 2 Payoff,GPT-4o_vs_Claude-3-Haiku,Gujarati,43.5
Player 2 Payoff,GPT-4o_vs_Claude-3-Haiku,Hindi,32.77777777777778
Player 2 Payoff,GPT-4o_vs_Claude-3-Haiku,Marwadi,20.5
Player 2 Payoff,GPT-4o_vs_Claude-3-Haiku,Punjabi,50.0
Player 2 Payoff,GPT-4o_vs_Claude-3.5-Haiku,Baseline,45.0
Player 2 Payoff,GPT-4o_vs_Claude-3.5-Haiku,Gujarati,46.0
Player 2 Payoff,GPT-4o_vs_Claude-3.5-Haiku,Hindi,41.5
Player 2 Payoff,GPT-4o_vs_Claude-3.5-Haiku,Marwadi,36.0
Player 2 Payoff,GPT-4o_vs_Claude-3.5-Haiku,Punjabi,40.55555555555556
Player 2 Payoff,GPT-4o_vs_GPT-3.5,Baseline,31.11111111111111
Player 2 Payoff,GPT-4o_vs_GPT-3.5,Gujarati,43.333333333333336
Player 2 Payoff,GPT-4o_vs_GPT-3.5,Hindi,34.5
Player 2 Payoff,GPT-4o_vs_GPT-3.5,Marwadi,32.22222222222222
Player 2 Payoff,GPT-4o_vs_GPT-3.5,Punjabi,33.0
Player 1 Win Rate,Claude-3-Haiku_vs_Claude-3.5-Haiku,Baseline,1.0
Player 1 Win Rate,Claude-3-Haiku_vs_Claude-3.5-Haiku,Gujarati,0.0
Player 1 Win Rate,Claude-3-Haiku_vs_Claude-3.5-Haiku,Hindi,0.6666666666666666
Player 1 Win Rate,Claude-3-Haiku_vs_Claude-3.5-Haiku,Marwadi,0.8571428571428571
Player 1 Win Rate,Claude-3-Haiku_vs_Claude-3.5-Haiku,Punjabi,1.0
Player 1 Win Rate,Claude-3-Haiku_vs_GPT-3.5,Baseline,1.0
Player 1 Win Rate,Claude-3-Haiku_vs_GPT-3.5,Gujarati,1.0
Player 1 Win Rate,Claude-3-Haiku_vs_GPT-3.5,Hindi,1.0
Player 1 Win Rate,Claude-3-Haiku_vs_GPT-3.5,Marwadi,1.0
Player 1 Win Rate,Claude-3-Haiku_vs_GPT-3.5,Punjabi,0.5
Player 1 Win Rate,Claude-3-Haiku_vs_GPT-4o,Baseline,1.0
Player 1 Win Rate,Claude-3-Haiku_vs_GPT-4o,Gujarati,0.25
Player 1 Win Rate,Claude-3-Haiku_vs_GPT-4o,Hindi,1.0
Player 1 Win Rate,Claude-3-Haiku_vs_GPT-4o,Marwadi,0.4
Player 1 Win Rate,Claude-3-Haiku_vs_GPT-4o,Punjabi,1.0
Player 1 Win Rate,Claude-3.5-Haiku_vs_Claude-3-Haiku,Baseline,0.8571428571428571
Player 1 Win Rate,Claude-3.5-Haiku_vs_Claude-3-Haiku,Gujarati,1.0
Player 1 Win Rate,Claude-3.5-Haiku_vs_Claude-3-Haiku,Hindi,1.0
Player 1 Win Rate,Claude-3.5-Haiku_vs_Claude-3-Haiku,Marwadi,0.875
Player 1 Win Rate,Claude-3.5-Haiku_vs_Claude-3-Haiku,Punjabi,0.7
Player 1 Win Rate,Claude-3.5-Haiku_vs_GPT-3.5,Baseline,1.0
Player 1 Win Rate,Claude-3.5-Haiku_vs_GPT-3.5,Gujarati,1.0
Player 1 Win Rate,Claude-3.5-Haiku_vs_GPT-3.5,Hindi,0.5
Player 1 Win Rate,Claude-3.5-Haiku_vs_GPT-3.5,Marwadi,1.0
Player 1 Win Rate,Claude-3.5-Haiku_vs_GPT-3.5,Punjabi,0.8333333333333334
Player 1 Win Rate,Claude-3.5-Haiku_vs_GPT-4o,Baseline,1.0
Player 1 Win Rate,Claude-3.5-Haiku_vs_GPT-4o,Gujarati,1.0
Player 1 Win Rate,Claude-3.5-Haiku_vs_GPT-4o,Hindi,1.0
Player 1 Win Rate,Claude-3.5-Haiku_vs_GPT-4o,Marwadi,0.8571428571428571
Player 1 Win Rate,Claude-3.5-Haiku_vs_GPT-4o,Punjabi,1.0
Player 1 Win Rate,GPT-3.5_vs_Claude-3-Haiku,Baseline,1.0
Player 1 Win Rate,GPT-3.5_vs_Claude-3-Haiku,Gujarati,0.8
Player 1 Win Rate,GPT-3.5_vs_Claude-3-Haiku,Hindi,1.0
Player 1 Win Rate,GPT-3.5_vs_Claude-3-Haiku,Marwadi,1.0
Player 1 Win Rate,GPT-3.5_vs_Claude-3-Haiku,Punjabi,0.8333333333333334
Player 1 Win Rate,GPT-3.5_vs_Claude-3.5-Haiku,Baseline,1.0
Player 1 Win Rate,GPT-3.5_vs_Claude-3.5-Haiku,Gujarati,0.75
Player 1 Win Rate,GPT-3.5_vs_Claude-3.5-Haiku,Hindi,1.0
Player 1 Win Rate,GPT-3.5_vs_Claude-3.5-Haiku,Marwadi,0.3333333333333333
Player 1 Win Rate,GPT-3.5_vs_Claude-3.5-Haiku,Punjabi,1.0
Player 1 Win Rate,GPT-3.5_vs_GPT-4o,Baseline,0.0
Player 1 Win Rate,GPT-3.5_vs_GPT-4o,Gujarati,0.0
Player 1 Win Rate,GPT-3.5_vs_GPT-4o,Hindi,0.375
Player 1 Win Rate,GPT-3.5_vs_GPT-4o,Marwadi,0.4
Player 1 Win Rate,GPT-3.5_vs_GPT-4o,Punjabi,0.75
Player 1 Win Rate,GPT-4o_vs_Claude-3-Haiku,Baseline,0.625
Player 1 Win Rate,GPT-4o_vs_Claude-3-Haiku,Gujarati,0.8333333333333334
Player 1 Win Rate,GPT-4o_vs_Claude-3-Haiku,Hindi,1.0
Player 1 Win Rate,GPT-4o_vs_Claude-3-Haiku,Marwadi,1.0
Player 1 Win Rate,GPT-4o_vs_Claude-3-Haiku,Punjabi,0.5
Player 1 Win Rate,GPT-4o_vs_Claude-3.5-Haiku,Baseline,0.7142857142857143
Player 1 Win Rate,GPT-4o_vs_Claude-3.5-Haiku,Gujarati,0.625
Player 1 Win Rate,GPT-4o_vs_Claude-3.5-Haiku,Hindi,0.8
Player 1 Win Rate,GPT-4o_vs_Claude-3.5-Haiku,Marwadi,0.8
Player 1 Win Rate,GPT-4o_vs_Claude-3.5-Haiku,Punjabi,0.7142857142857143
Player 1 Win Rate,GPT-4o_vs_GPT-3.5,Baseline,0.8571428571428571
Player 1 Win Rate,GPT-4o_vs_GPT-3.5,Gujarati,0.3333333333333333
Player 1 Win Rate,GPT-4o_vs_GPT-3.5,Hindi,1.0
Player 1 Win Rate,GPT-4o_vs_GPT-3.5,Marwadi,0.8571428571428571
Player 1 Win Rate,GPT-4o_vs_GPT-3.5,Punjabi,0.8888888888888888
